slug,name,type,active,verification_status,booking_url,supported_counties,disclosure
environmental-well-testing,Environmental Well Testing,lab,false,Verify current NJDEP certification and obtain written activation approval,https://envwelltesting.com/,ALL,Independent prospect; no endorsement or commercial relationship is implied.
agra-environmental,AGRA Environmental and Laboratory Services,lab,false,Verify current NJDEP certification and obtain written activation approval,https://www.agra.us/,ALL,Independent prospect; no endorsement or commercial relationship is implied.
innovative-water-solutions,Innovative Water Solutions Laboratories,lab,false,Verify current NJDEP certification and obtain written activation approval,https://iwaterlabs.com/,ALL,Independent prospect; no endorsement or commercial relationship is implied.
south-jersey-water-test,South Jersey Water Test,lab,false,Verify current NJDEP certification and obtain written activation approval,https://www.njwatertest.com/,Atlantic|Burlington|Camden|Cape May|Cumberland|Gloucester|Ocean|Salem,Independent prospect; no endorsement or commercial relationship is implied.
emsl-analytical,EMSL Analytical,lab,false,Verify current NJDEP certification and obtain written activation approval,https://www.emsl.com/Services.aspx?ServiceCategoryID=286&TopServiceCategoryID=290&action=list,ALL,Independent prospect; no endorsement or commercial relationship is implied.
nj-top-home-inspections,NJ Top Home Inspections,inspector,false,Verify NJ license and water-sampling scope; obtain written activation approval,https://www.njtophomeinspections.com/,ALL,Independent prospect; no endorsement or commercial relationship is implied.
homesafe-inspections,HomeSafe Inspections,inspector,false,Verify NJ license and water-sampling scope; obtain written activation approval,https://www.homesafeinspectors.com/,Bergen|Essex|Hunterdon|Mercer|Middlesex|Morris|Passaic|Somerset|Sussex|Union|Warren,Independent prospect; no endorsement or commercial relationship is implied.
basis-property-inspection,Basis Property Inspection Services,inspector,false,Verify NJ license and water-sampling scope; obtain written activation approval,https://basisproinspection.com/,ALL,Independent prospect; no endorsement or commercial relationship is implied.
american-dream-home-inspections,American Dream Home Inspections,inspector,false,Verify NJ license and water-sampling scope; obtain written activation approval,https://www.adhomeinspectionsllc.com/new-jersey-home-inspection-services/,ALL,Independent prospect; no endorsement or commercial relationship is implied.
freedom-home-inspections,Freedom Home Inspections,inspector,false,Verify NJ license and water-sampling scope; obtain written activation approval,https://freedomhomeinspectionsnj.com/,ALL,Independent prospect; no endorsement or commercial relationship is implied.
