canonical_name,support_tier,problem_type_default,default_urgency,default_scope,default_action_mode,unit_whitelist,claim_requirements,sources
total coliform,A,microbial,immediate,drinking-only,use_alternate_water,presence/absence|cfu/100ml|mpn/100ml,certified lab method match|microbial treatment suitability,https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html|https://www.epa.gov/privatewells
e. coli,A,microbial,immediate,drinking-only,use_alternate_water,presence/absence|cfu/100ml|mpn/100ml,certified lab method match|microbial treatment suitability,https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html|https://www.epa.gov/privatewells
nitrate,A,chemical-health,prompt,drinking-only,retest,mg/L|ppm,nitrate reduction claim|drinking-water protection suitability,https://www.epa.gov/sdwa/drinking-water-regulations-and-contaminants|https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html
arsenic,A,chemical-health,prompt,drinking-only,compare_treatment,ppb|ug/L,arsenic reduction claim|verification retest claim,https://www.epa.gov/sdwa/drinking-water-regulations-and-contaminants|https://www.epa.gov/privatewells
iron,A,aesthetic-operational,routine,whole-house,compare_treatment,mg/L|ppm,iron reduction claim|maintenance fit claim,https://www.epa.gov/sdwa/secondary-drinking-water-standards-guidance-nuisance-chemicals|https://www.epa.gov/privatewells
manganese,A,aesthetic-operational,routine,whole-house,compare_treatment,mg/L|ppm,manganese reduction claim|maintenance fit claim,https://www.epa.gov/sdwa/secondary-drinking-water-standards-guidance-nuisance-chemicals|https://www.epa.gov/privatewells
hardness,A,aesthetic-operational,routine,whole-house,compare_treatment,mg/L|ppm|grains/gal,hardness treatment suitability claim|scale reduction suitability,https://www.epa.gov/privatewells/protect-your-homes-water|https://www.epa.gov/privatewells
ph,A,corrosion,prompt,whole-house,inspect_source,su|ph,corrosion control suitability claim|follow-up lead/corrosivity check,https://www.epa.gov/privatewells|https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html
tds,A,aesthetic-operational,routine,whole-house,compare_treatment,mg/L|ppm,tds treatment suitability claim|taste/odor fit claim,https://www.epa.gov/sdwa/secondary-drinking-water-standards-guidance-nuisance-chemicals|https://www.epa.gov/privatewells
sulfate,A,aesthetic-operational,routine,whole-house,compare_treatment,mg/L|ppm,sulfate reduction claim|whole-house scope suitability,https://www.epa.gov/sdwa/secondary-drinking-water-standards-guidance-nuisance-chemicals|https://www.epa.gov/privatewells
lead,B,chemical-health,prompt,drinking-only,retest,ppb|ug/L,lead reduction claim|certified testing requirement,https://www.epa.gov/ground-water-and-drinking-water/basic-information-about-lead-drinking-water|https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html
pfas,B,chemical-health,prompt,drinking-only,retest,ppt|ng/L,pfas reduction claim|certified filter claim check,https://www.epa.gov/cleanups/pfas-private-wells|https://www.epa.gov/water-research/identifying-drinking-water-filters-certified-reduce-pfas
radon,B,chemical-health,prompt,drinking-only,contact_local_guidance,pCi/L,radon mitigation suitability claim|local guidance routing,https://www.epa.gov/radtown/natural-radionuclides-private-wells|https://www.epa.gov/privatewells
radium,B,chemical-health,prompt,drinking-only,contact_local_guidance,pCi/L,radium reduction claim|local guidance routing,https://www.epa.gov/sdwa/drinking-water-regulations-and-contaminants|https://www.epa.gov/privatewells
pesticides,B,chemical-health,prompt,drinking-only,retest,ppb|ug/L,pesticide reduction claim|certified testing requirement,https://www.epa.gov/privatewells|https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html
vocs,B,chemical-health,prompt,drinking-only,retest,ppb|ug/L,voc reduction claim|certified testing requirement,https://www.epa.gov/sdwa/drinking-water-regulations-and-contaminants|https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html
