"family","slug","title","h1","meta_description","intro","action_now","what_to_test","primary_cta_label","primary_cta_url","money_cta_label","money_cta_url","disclosure","source_url","search_query","search_performed_at","fetched_at","tier"
"contaminants","nitrate","Nitrate in Well Water: What to Do","Nitrate in Well Water What To Do","See what nitrate in well water means, when it may be unsafe for babies or pregnancy, and what to test or do next","Use this page if a lab report shows nitrate or you are worried your well water may not be safe to drink.","If infants, formula, or pregnancy are in the home, use another drinking water source until a recent certified result shows the level is acceptable.","Confirm the nitrate result with a certified lab, check the unit and sample date, and retest after rain, flooding, repairs, or treatment changes.","Find certified lab","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html","Compare nitrate protection paths","/well-water/whole-house-vs-under-sink-ro","Commercial paths stay secondary to testing, verification, and state guidance.","https://www.epa.gov/dwstandardsregulations","EPA drinking water regulations nitrate benchmark","2026-03-07T02:00:00Z","2026-03-07T02:05:00Z","A"
"contaminants","arsenic","Arsenic in Well Water: What to Do","Arsenic in Well Water What To Do","Learn what arsenic in well water means, when to avoid using it for drinking, and how to test before choosing treatment","Use this page if a lab report shows arsenic or you live in an area where arsenic in private wells is a known concern.","Use a safer drinking water source until the result is confirmed and you know whether the issue affects only drinking water or the whole house.","Run certified lab testing, note the sample age and units, and plan follow-up verification before comparing treatment categories.","Find certified lab","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html","Compare arsenic treatment categories","/well-water/ro-vs-adsorptive-media-for-arsenic","Commercial paths stay secondary to testing, verification, and state guidance.","https://www.epa.gov/dwstandardsregulations","EPA arsenic drinking water standard private well context","2026-03-07T02:01:00Z","2026-03-07T02:06:00Z","A"
"contaminants","coliform","Positive Coliform in Well Water","Positive Coliform in Well Water","Learn what a positive coliform result means, whether to stop drinking the water, and what to do next","Use this page if your well water test came back positive for total coliform and you need the next safe step.","Use alternate water for drinking, cooking, brushing teeth, and infant formula until you understand whether the result reflects a real contamination risk.","Retest with a certified lab, review sampling mistakes, and check recent flooding, repairs, or wellhead issues before comparing treatment.","Find local health guidance","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html","Compare microbial treatment paths","/well-water/uv-vs-chlorination","Commercial paths stay secondary to testing, verification, and state guidance.","https://www.cdc.gov/drinking-water/about/drinking-water-standards-and-regulations-an-overview.html","CDC coliform drinking water standards overview","2026-03-07T02:02:00Z","2026-03-07T02:07:00Z","A"
"contaminants","e-coli","E. coli in Well Water: What to Do","E. coli in Well Water What To Do","Learn what E. coli in well water means, when to stop using the water, and what to do next","Use this page if a well water test shows E. coli and you need the safest next step.","Use alternate water for drinking, cooking, brushing teeth, and infant formula right now while you follow local guidance.","Coordinate certified retesting, review sampling or wellhead problems, and do not treat a positive E. coli result like a simple nuisance issue.","Find local health guidance","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html","Compare microbial treatment paths","/well-water/uv-vs-chlorination","Commercial paths stay secondary to testing, verification, and state guidance.","https://www.cdc.gov/drinking-water/about/drinking-water-standards-and-regulations-an-overview.html","CDC e coli drinking water guidance overview","2026-03-07T02:02:30Z","2026-03-07T02:07:30Z","A"
"contaminants","iron","High Iron In Well Water Guide","Iron in Well Water Treatment Options","Distinguish nuisance iron problems from health concerns","This page helps pick test and treatment sequence for iron","Start with symptom mapping and avoid panic purchases","Confirm iron level and compare maintenance heavy options","Check local test guidance","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html","Compare iron treatment paths","/well-water/softener-vs-iron-filter","Commercial paths stay secondary to testing, verification, and state guidance.","https://www.epa.gov/sdwa/secondary-drinking-water-standards-guidance-nuisance-chemicals","EPA secondary drinking water standards iron","2026-03-07T02:03:00Z","2026-03-07T02:08:00Z","A"
"contaminants","manganese","High Manganese In Well Water","How To Handle Manganese in Well Water","Interpret manganese levels and treatment choices","This page explains practical nuisance focused decisions for manganese","Prioritize water use scope before buying equipment","Test for related contaminants and compare category claims","Find certified lab","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html","Compare treatment categories","/well-water/family/compares","Commercial paths stay secondary to testing, verification, and state guidance.","https://www.epa.gov/sdwa/secondary-drinking-water-standards-guidance-nuisance-chemicals","EPA secondary standards manganese private wells","2026-03-07T02:03:30Z","2026-03-07T02:08:30Z","A"
"contaminants","hardness","Hard Water From Private Well","Hardness in Well Water What To Do","Decide between softening and simple maintenance for hard water","This page focuses on scale and appliance protection decisions","Check whole house impact before selecting equipment","Test hardness and compare maintenance burden by option","Review test guidance","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html","Compare treatment categories","/well-water/family/compares","Commercial paths stay secondary to testing, verification, and state guidance.","https://www.epa.gov/sdwa/secondary-drinking-water-standards-guidance-nuisance-chemicals","EPA secondary standards hardness interpretation","2026-03-07T02:04:00Z","2026-03-07T02:09:00Z","B"
"contaminants","ph","Low pH in Well Water","Low pH in Well Water and Corrosion Risk","Learn what low pH in well water means, when corrosion may be the real issue, and what to test next","Use this page if a lab report shows low pH or you see corrosion clues like metallic taste or blue-green stains.","Check for plumbing corrosion signs before assuming you need a treatment tank or neutralizer right away.","Test lead, copper, and other corrosion-related clues when low pH may be affecting plumbing as much as source water.","Find certified lab","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html","Compare low-pH correction paths","/well-water/acid-neutralizer-vs-soda-ash","Commercial paths stay secondary to testing, verification, and state guidance.","https://www.epa.gov/sdwa/secondary-drinking-water-standards-guidance-nuisance-chemicals","EPA low pH corrosive water guidance secondary standards","2026-03-07T02:04:30Z","2026-03-07T02:09:30Z","A"
"contaminants","tds","High TDS In Well Water","High TDS in Well Water Explained","Understand tds readings and practical next moves","This page covers nuisance centered interpretation of tds","Validate water source and usage scope first","Test related ions and compare treatment categories","Check testing guidance","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html","Compare treatment categories","/well-water/family/compares","Commercial paths stay secondary to testing, verification, and state guidance.","https://www.epa.gov/sdwa/secondary-drinking-water-standards-guidance-nuisance-chemicals","EPA secondary standards tds meaning","2026-03-07T02:05:00Z","2026-03-07T02:10:00Z","B"
"contaminants","sulfate","High Sulfate In Well Water","High Sulfate in Well Water Next Steps","Learn sulfate effects and what to test next","This page gives practical testing and comparison flow for sulfate","Start with intake symptoms and household sensitivity","Confirm sulfate level and compare fit limits by category","Find certified lab","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html","Compare treatment categories","/well-water/family/compares","Commercial paths stay secondary to testing, verification, and state guidance.","https://www.epa.gov/sdwa/secondary-drinking-water-standards-guidance-nuisance-chemicals","EPA sulfate secondary standard guidance","2026-03-07T02:05:30Z","2026-03-07T02:10:30Z","B"
"symptoms","rotten-egg-smell","Rotten Egg Smell in Well Water","Rotten Egg Smell in Well Water","Learn what rotten egg smell in well water usually means, whether it is dangerous, and what to check before buying a sulfur filter","Use this page if your well water smells like rotten eggs and you need the fastest way to narrow the cause.","Check whether the smell is hot water only, cold water only, or throughout the house before you assume you need a whole-house fix.","If the smell affects the whole house or changed recently, test for sulfur bacteria, iron, manganese, and other nuisance clues before comparing treatment.","Find local guidance","https://www.epa.gov/privatewells","Compare sulfur treatment paths","/well-water/air-injection-vs-oxidizing-filter","Commercial paths stay secondary to testing, verification, and state guidance.","https://www.epa.gov/privatewells","Private well sulfur smell source and testing order","2026-03-07T02:06:00Z","2026-03-07T02:11:00Z","A"
"symptoms","orange-stains","Orange Stains in Well Water","Orange Stains in Well Water","Find out what usually causes orange stains in well water and what to test before buying an iron filter or softener","Use this page if sinks, toilets, or tubs are picking up orange or rust-colored stains from well water.","Map where the stains appear and whether they come with metallic taste, odor, or plumbing corrosion clues before you shop for treatment.","Test iron, manganese, hardness, and low-pH clues so you can separate nuisance staining from corrosion or fixture-specific issues.","Find certified lab","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html","Compare iron treatment paths","/well-water/softener-vs-iron-filter","Commercial paths stay secondary to testing, verification, and state guidance.","https://www.epa.gov/sdwa/secondary-drinking-water-standards-guidance-nuisance-chemicals","EPA orange stain iron nuisance guidance","2026-03-07T02:06:30Z","2026-03-07T02:11:30Z","A"
"symptoms","black-stains","Black Stains Well Water","Black Stains in Well Water","Understand black staining causes and next checks","This page supports test first logic before treatment purchase","Check fixture scope and recent changes in water quality","Test manganese sulfur and sediment factors","Find certified lab","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html","Compare matching treatment paths","/well-water/family/compares","Commercial paths stay secondary to testing, verification, and state guidance.","https://www.epa.gov/sdwa/secondary-drinking-water-standards-guidance-nuisance-chemicals","EPA black stain manganese nuisance page search","2026-03-07T02:07:00Z","2026-03-07T02:12:00Z","A"
"symptoms","metallic-taste","Metallic Taste in Well Water","Metallic Taste in Well Water","Learn what metallic taste in well water may mean, whether corrosion could be involved, and what to test next","Use this page if your well water tastes metallic and you need to separate corrosion clues from source-water problems.","Check whether the taste started after rain, repairs, or plumbing work and whether blue-green stains or low pH clues show up too.","Test pH, corrosion-related metals, and any fixture-specific clues before treating a taste complaint like a whole-house contaminant problem.","Find local guidance","https://www.cdc.gov/drinking-water/safety/index.html","Compare low-pH correction paths","/well-water/acid-neutralizer-vs-soda-ash","Commercial paths stay secondary to testing, verification, and state guidance.","https://portal.ct.gov/-/media/Departments-and-Agencies/DPH/dph/environmental_health/pdf/18pHAcidityofPDWWpdf.pdf","Connecticut pH acidity metallic taste copper corrosion","2026-03-07T02:07:30Z","2026-03-07T02:12:30Z","A"
"symptoms","cloudy-water","Cloudy Well Water: What To Check First","Cloudy Well Water What To Check First","Find out why well water looks cloudy, when it may be unsafe, and what to check before buying a sediment filter","Use this page if your private well water suddenly looks cloudy, milky, or murky and you need the first checks.","Check whether the cloudiness clears after standing and whether it started after rain, flooding, repairs, or a power event.","If cloudiness persists or follows a contamination trigger, use certified testing or local guidance instead of assuming it is only air or sediment.","Find local guidance","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html","Compare sediment and cleanup paths","/well-water/spin-down-vs-cartridge-sediment-filter","Commercial paths stay secondary to testing, verification, and state guidance.","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html","CDC cloudy well water testing guidance query","2026-03-07T02:08:00Z","2026-03-07T02:13:00Z","A"
"symptoms","scale-buildup","Scale Buildup Well Water","Scale Buildup in Well Water","Choose next actions for hardness and scale problems","This page focuses on operational impact and maintenance planning","Track appliance impact before selecting a treatment range","Test hardness and compare whole house versus point solutions","Find certified lab","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html","Compare matching treatment paths","/well-water/family/compares","Commercial paths stay secondary to testing, verification, and state guidance.","https://www.epa.gov/sdwa/secondary-drinking-water-standards-guidance-nuisance-chemicals","EPA scale hardness secondary standards page","2026-03-07T02:08:30Z","2026-03-07T02:13:30Z","B"
"compares","uv-vs-ro","UV vs RO For Well Water","UV vs RO for Well Water","Compare uv and ro based on contaminant intent not hype","This page helps choose by problem type and verification needs","Start by defining whether issue is microbial or chemical","Test targeted contaminants before final equipment selection","Review testing guidance first","https://www.cdc.gov/drinking-water/safety/guidelines-for-testing-well-water.html","Verify treatment claims before you buy","/well-water/how-to-verify-water-treatment-claims","Commercial paths stay secondary to testing, verification, and state guidance.","https://www.epa.gov/privatewells","UV vs RO for private well search and guidance","2026-03-07T02:09:00Z","2026-03-07T02:14:00Z","B"
